symbol,name,action,category,strategy,confidence,latest_close,support,resistance,target,stoploss,buy_zone,date,rsi,bb_upper,bb_lower,rationale,fundamentals_score,fundamentals_label,fundamentals_details,status,closed_at,days_to_target
360ONE,360ONE,SELL,Stocks,bollinger_rsi,0.5,1187.4000244140625,,,1223.0220251464843,1151.778023681641,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
ACUTAAS,ACUTAAS,SELL,Stocks,bollinger_rsi,0.5,1637.0999755859375,,,1686.2129748535156,1587.9869763183594,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
ADANIPOWER,ADANIPOWER,SELL,Stocks,bollinger_rsi,0.5,170.35000610351562,,,175.4605062866211,165.23950592041015,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
ADOR,ADOR,SELL,Stocks,bollinger_rsi,0.5,1153.0,,,1187.59,1118.41,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
ANGELONE,ANGELONE,SELL,Stocks,bollinger_rsi,0.5,2509.60009765625,,,2584.888100585937,2434.3120947265625,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
ASTEC,ASTEC,BUY,Stocks,bollinger_rsi,0.5,703.5,,,724.605,682.395,,2025-10-20,,,,,,,,,,
ATHERENERG,ATHERENERG,SELL,Stocks,bollinger_rsi,0.5,707.4000244140625,,,728.6220251464844,686.1780236816406,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
AUBANK,AUBANK,SELL,Stocks,bollinger_rsi,0.5,865.75,,,891.7225,839.7775,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
AYMSYNTEX,AYMSYNTEX,BUY,Stocks,bollinger_rsi,0.5,177.0,,,182.31,171.69,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-21,1.0
BAJAJFINSV,BAJAJFINSV,SELL,Stocks,bollinger_rsi,0.5,2146.0,,,2210.38,2081.62,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
BAJFINANCE,BAJFINANCE,SELL,Stocks,bollinger_rsi,0.5,1084.449951171875,,,1116.9834497070312,1051.9164526367188,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
BARBEQUE,BARBEQUE,BUY,Stocks,bollinger_rsi,0.5,215.2700042724609,,,221.72810440063475,208.81190414428707,,2025-10-17,,,,,,,,,,
BHARTIARTL,BHARTIARTL,SELL,Stocks,bollinger_rsi,0.5,2051.0,,,2112.53,1989.47,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
CEATLTD,CEATLTD,SELL,Stocks,bollinger_rsi,0.5,4092.89990234375,,,4215.686899414062,3970.112905273437,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
CELEBRITY,CELEBRITY,BUY,Stocks,bollinger_rsi,0.5,10.460000038146973,,,10.773800039291382,10.146200037002563,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-21,1.0
CSBBANK,CSBBANK,SELL,Stocks,bollinger_rsi,0.5,420.7000122070313,,,433.3210125732423,408.0790118408203,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
DCBBANK,DCBBANK,SELL,Stocks,bollinger_rsi,0.5,145.9199981689453,,,150.29759811401368,141.54239822387694,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-20,0.0
DCW,DCW,BUY,Stocks,bollinger_rsi,0.5,63.650001525878906,,,65.55950157165528,61.74050148010254,,2025-10-20,,,,,,,,,,
DCXINDIA,DCXINDIA,BUY,Stocks,bollinger_rsi,0.5,226.9199981689453,,,233.7275981140137,220.1123982238769,,2025-10-20,,,,,,,,,,
DHANUKA,DHANUKA,BUY,Stocks,bollinger_rsi,0.5,1370.300048828125,,,1411.4090502929687,1329.1910473632813,,2025-10-20,,,,,,,,TARGET_HIT,2025-10-21,1.0
DICIND,DICIND,BUY,Stocks,bollinger_rsi,0.5,495.5,,,510.365,480.635,,2025-10-20,,,,,,,,,,
